2026-06-12T06:18:28.842124+00:00 | status=error | changed=None | finished_matches=None | eliminated=None | published=None | detail=2026-06-12T061829Z.json
2026-06-12T06:18:35.776853+00:00 | status=ok | changed=False | finished_matches=2 | eliminated=0 | published=True | detail=2026-06-12T061836Z.json
2026-06-12T06:28:20.392209+00:00 | status=ok | changed=False | finished_matches=2 | eliminated=0 | published=True | detail=2026-06-12T062820Z.json
2026-06-12T09:34:34.584830+00:00 | status=ok | changed=False | finished_matches=2 | eliminated=0 | published=False | detail=2026-06-12T093434Z.json
2026-06-12T12:33:32.378712+00:00 | status=ok | changed=False | finished_matches=2 | eliminated=0 | published=False | detail=2026-06-12T123332Z.json
2026-06-12T20:51:51.141927+00:00 | status=ok | changed=False | finished_matches=2 | eliminated=0 | published=False | detail=2026-06-12T205151Z.json
2026-06-13T09:12:34.842325+00:00 | status=ok | changed=True | finished_matches=4 | eliminated=0 | published=False | detail=2026-06-13T091235Z.json
2026-06-13T12:26:12.912798+00:00 | status=ok | changed=False | finished_matches=4 | eliminated=0 | published=False | detail=2026-06-13T122613Z.json
2026-06-13T12:48:39.303924+00:00 | status=ok | changed=False | finished_matches=4 | eliminated=0 | published=True | detail=2026-06-13T124839Z.json
2026-06-13T13:36:13.259261+00:00 | status=ok | changed=False | finished_matches=4 | eliminated=0 | published=True | detail=2026-06-13T133613Z.json
2026-06-13T20:35:28.376205+00:00 | status=ok | changed=False | finished_matches=4 | eliminated=0 | published=True | detail=2026-06-13T203528Z.json
2026-06-14T09:14:19.355439+00:00 | status=ok | changed=True | finished_matches=8 | eliminated=0 | published=True | detail=2026-06-14T091419Z.json
2026-06-14T09:31:02.370872+00:00 | status=ok | changed=False | finished_matches=8 | eliminated=0 | published=True | detail=2026-06-14T093102Z.json
2026-06-14T19:01:30.829201+00:00 | status=ok | changed=True | finished_matches=9 | eliminated=0 | published=True | detail=2026-06-14T190131Z.json
2026-06-14T20:35:32.199610+00:00 | status=ok | changed=False | finished_matches=9 | eliminated=0 | published=True | detail=2026-06-14T203532Z.json
2026-06-15T06:12:56.682491+00:00 | status=ok | changed=True | finished_matches=12 | eliminated=0 | published=True | detail=2026-06-15T061256Z.json
2026-06-15T06:15:37.819540+00:00 | status=ok | changed=False | finished_matches=12 | eliminated=0 | published=True | detail=2026-06-15T061538Z.json
2026-06-15T10:16:43.333779+00:00 | status=ok | changed=False | finished_matches=12 | eliminated=0 | published=True | detail=2026-06-15T101643Z.json
2026-06-15T18:26:02.406987+00:00 | status=ok | changed=True | finished_matches=13 | eliminated=0 | published=True | detail=2026-06-15T182602Z.json
2026-06-15T20:06:52.604876+00:00 | status=ok | changed=False | finished_matches=13 | eliminated=0 | published=True | detail=2026-06-15T200652Z.json
2026-06-15T21:06:35.068181+00:00 | status=ok | changed=True | finished_matches=14 | eliminated=0 | published=True | detail=2026-06-15T210635Z.json
2026-06-16T09:54:41.259555+00:00 | status=ok | changed=True | finished_matches=16 | eliminated=0 | published=True | detail=2026-06-16T095441Z.json
2026-06-16T11:16:46.425094+00:00 | status=ok | changed=False | finished_matches=16 | eliminated=0 | published=True | detail=2026-06-16T111646Z.json
2026-06-16T21:07:30.202139+00:00 | status=ok | changed=True | finished_matches=17 | eliminated=0 | published=True | detail=2026-06-16T210730Z.json
2026-06-17T06:48:01.485409+00:00 | status=ok | changed=True | finished_matches=20 | eliminated=0 | published=True | detail=2026-06-17T064801Z.json
2026-06-17T07:15:41.304001+00:00 | status=ok | changed=False | finished_matches=20 | eliminated=0 | published=True | detail=2026-06-17T071541Z.json
2026-06-17T09:46:56.458142+00:00 | status=ok | changed=False | finished_matches=20 | eliminated=0 | published=True | detail=2026-06-17T094656Z.json
2026-06-17T20:50:10.758217+00:00 | status=ok | changed=True | finished_matches=21 | eliminated=0 | published=True | detail=2026-06-17T205010Z.json
2026-06-18T06:55:35.757342+00:00 | status=ok | changed=True | finished_matches=24 | eliminated=0 | published=True | detail=2026-06-18T065536Z.json
2026-06-18T09:39:23.145613+00:00 | status=ok | changed=False | finished_matches=24 | eliminated=0 | published=True | detail=2026-06-18T093923Z.json
2026-06-18T18:00:21.269343+00:00 | status=ok | changed=True | finished_matches=25 | eliminated=0 | published=True | detail=2026-06-18T180021Z.json
2026-06-18T19:49:25.560564+00:00 | status=ok | changed=False | finished_matches=25 | eliminated=0 | published=True | detail=2026-06-18T194926Z.json
2026-06-18T20:56:51.658140+00:00 | status=ok | changed=False | finished_matches=25 | eliminated=0 | published=True | detail=2026-06-18T205651Z.json
2026-06-19T06:24:39.639569+00:00 | status=ok | changed=True | finished_matches=28 | eliminated=0 | published=True | detail=2026-06-19T062440Z.json
2026-06-19T09:42:38.010176+00:00 | status=ok | changed=False | finished_matches=28 | eliminated=0 | published=True | detail=2026-06-19T094238Z.json
2026-06-19T20:37:41.742890+00:00 | status=ok | changed=False | finished_matches=28 | eliminated=0 | published=True | detail=2026-06-19T203742Z.json
2026-06-19T22:46:10.205332+00:00 | status=ok | changed=True | finished_matches=29 | eliminated=0 | published=True | detail=2026-06-19T224610Z.json
2026-06-20T06:20:41.978615+00:00 | status=ok | changed=True | finished_matches=32 | eliminated=0 | published=True | detail=2026-06-20T062042Z.json
2026-06-20T06:28:57.455863+00:00 | status=ok | changed=False | finished_matches=32 | eliminated=0 | published=True | detail=2026-06-20T062857Z.json
2026-06-20T09:11:52.931005+00:00 | status=ok | changed=False | finished_matches=32 | eliminated=0 | published=True | detail=2026-06-20T091153Z.json
2026-06-20T20:34:50.962202+00:00 | status=ok | changed=True | finished_matches=33 | eliminated=0 | published=True | detail=2026-06-20T203451Z.json
2026-06-21T09:24:05.418809+00:00 | status=ok | changed=True | finished_matches=36 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-21T092405Z.json
2026-06-21T20:39:02.844708+00:00 | status=ok | changed=True | finished_matches=37 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-21T203903Z.json
2026-06-22T10:10:08.536930+00:00 | status=ok | changed=True | finished_matches=40 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-22T101008Z.json
2026-06-22T12:58:10.725252+00:00 | status=ok | changed=False | finished_matches=40 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-22T125810Z.json
2026-06-22T21:06:20.366295+00:00 | status=ok | changed=True | finished_matches=41 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-22T210620Z.json
2026-06-23T09:03:06.443969+00:00 | status=ok | changed=True | finished_matches=44 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-23T090306Z.json
2026-06-23T09:18:12.862556+00:00 | status=ok | changed=False | finished_matches=44 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-23T091813Z.json
2026-06-23T20:50:50.810814+00:00 | status=ok | changed=True | finished_matches=45 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-23T205051Z.json
2026-06-24T09:16:31.173321+00:00 | status=ok | changed=True | finished_matches=48 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-24T091631Z.json
2026-06-24T15:10:50.210875+00:00 | status=ok | changed=False | finished_matches=48 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-24T151050Z.json
2026-06-24T20:40:39.096803+00:00 | status=ok | changed=False | finished_matches=48 | eliminated=2 | new_eliminated=0 | published=True | detail=2026-06-24T204039Z.json
2026-06-24T21:33:24.794944+00:00 | status=ok | changed=True | finished_matches=50 | eliminated=3 | new_eliminated=1 | published=True | detail=2026-06-24T213325Z.json
2026-06-25T06:08:52.126051+00:00 | status=ok | changed=True | finished_matches=54 | eliminated=4 | new_eliminated=1 | published=True | detail=2026-06-25T060852Z.json
2026-06-25T09:15:28.000939+00:00 | status=ok | changed=False | finished_matches=54 | eliminated=4 | new_eliminated=0 | published=True | detail=2026-06-25T091528Z.json
2026-06-25T20:45:59.142983+00:00 | status=ok | changed=False | finished_matches=54 | eliminated=4 | new_eliminated=0 | published=True | detail=2026-06-25T204603Z.json
2026-06-26T07:48:36.223148+00:00 | status=ok | changed=True | finished_matches=60 | eliminated=6 | new_eliminated=2 | published=True | detail=2026-06-26T074836Z.json
2026-06-26T08:52:29.910317+00:00 | status=ok | changed=False | finished_matches=60 | eliminated=6 | new_eliminated=0 | published=True | detail=2026-06-26T085230Z.json
2026-06-26T09:15:25.971112+00:00 | status=ok | changed=False | finished_matches=60 | eliminated=6 | new_eliminated=0 | published=True | detail=2026-06-26T091526Z.json
2026-06-26T20:40:26.495821+00:00 | status=ok | changed=False | finished_matches=60 | eliminated=6 | new_eliminated=0 | published=True | detail=2026-06-26T204026Z.json
2026-06-26T21:47:28.337735+00:00 | status=ok | changed=True | finished_matches=62 | eliminated=7 | new_eliminated=1 | published=True | detail=2026-06-26T214728Z.json
2026-06-27T08:27:36.659912+00:00 | status=ok | changed=True | finished_matches=66 | eliminated=9 | new_eliminated=2 | published=True | detail=2026-06-27T082736Z.json
2026-06-27T08:50:21.101400+00:00 | status=ok | changed=False | finished_matches=66 | eliminated=9 | new_eliminated=0 | published=True | detail=2026-06-27T085021Z.json
2026-06-27T09:02:49.869875+00:00 | status=ok | changed=False | finished_matches=66 | eliminated=9 | new_eliminated=0 | published=True | detail=2026-06-27T090250Z.json
2026-06-27T20:30:21.183391+00:00 | status=ok | changed=False | finished_matches=66 | eliminated=9 | new_eliminated=0 | published=True | detail=2026-06-27T203021Z.json
2026-06-28T09:10:58.365122+00:00 | status=ok | changed=True | finished_matches=72 | eliminated=16 | new_eliminated=7 | published=True | detail=2026-06-28T091058Z.json
2026-06-28T13:12:15.575565+00:00 | status=ok | changed=False | finished_matches=72 | eliminated=16 | new_eliminated=0 | published=True | detail=2026-06-28T131215Z.json
2026-06-28T20:32:53.099242+00:00 | status=ok | changed=False | finished_matches=72 | eliminated=16 | new_eliminated=0 | published=True | detail=2026-06-28T203253Z.json
2026-06-29T09:45:04.085673+00:00 | status=ok | changed=True | finished_matches=73 | eliminated=17 | new_eliminated=1 | published=True | detail=2026-06-29T094504Z.json
2026-06-29T20:42:27.539923+00:00 | status=ok | changed=True | finished_matches=74 | eliminated=18 | new_eliminated=1 | published=True | detail=2026-06-29T204227Z.json
2026-06-30T06:40:50.396886+00:00 | status=ok | changed=True | finished_matches=74 | eliminated=18 | new_eliminated=0 | published=True | detail=2026-06-30T064050Z.json
2026-06-30T06:57:08.674675+00:00 | status=ok | changed=False | finished_matches=74 | eliminated=18 | new_eliminated=0 | published=True | detail=2026-06-30T065708Z.json
2026-06-30T09:16:46.088002+00:00 | status=ok | changed=False | finished_matches=74 | eliminated=18 | new_eliminated=0 | published=True | detail=2026-06-30T091646Z.json
2026-06-30T20:45:03.600368+00:00 | status=ok | changed=True | finished_matches=75 | eliminated=19 | new_eliminated=1 | published=True | detail=2026-06-30T204503Z.json
2026-07-01T06:26:22.701332+00:00 | status=ok | changed=True | finished_matches=77 | eliminated=21 | new_eliminated=2 | published=True | detail=2026-07-01T062622Z.json
2026-07-01T06:55:52.542942+00:00 | status=ok | changed=False | finished_matches=77 | eliminated=21 | new_eliminated=0 | published=True | detail=2026-07-01T065552Z.json
